Ticker,Files_Count,Has_Data,Files
AAPL,9,Yes,AAPL_balance_sheet.csv; AAPL_cash_flow.csv; AAPL_earnings_dates.csv; AAPL_income_statement.csv; AAPL_quarterly_balance_sheet.csv; AAPL_quarterly_cash_flow.csv; AAPL_quarterly_income_statement.csv; AAPL_ttm_cash_flow.csv; AAPL_ttm_income_statement.csv
ABBV,9,Yes,ABBV_balance_sheet.csv; ABBV_cash_flow.csv; ABBV_earnings_dates.csv; ABBV_income_statement.csv; ABBV_quarterly_balance_sheet.csv; ABBV_quarterly_cash_flow.csv; ABBV_quarterly_income_statement.csv; ABBV_ttm_cash_flow.csv; ABBV_ttm_income_statement.csv
ABT,9,Yes,ABT_balance_sheet.csv; ABT_cash_flow.csv; ABT_earnings_dates.csv; ABT_income_statement.csv; ABT_quarterly_balance_sheet.csv; ABT_quarterly_cash_flow.csv; ABT_quarterly_income_statement.csv; ABT_ttm_cash_flow.csv; ABT_ttm_income_statement.csv
AMD,9,Yes,AMD_balance_sheet.csv; AMD_cash_flow.csv; AMD_earnings_dates.csv; AMD_income_statement.csv; AMD_quarterly_balance_sheet.csv; AMD_quarterly_cash_flow.csv; AMD_quarterly_income_statement.csv; AMD_ttm_cash_flow.csv; AMD_ttm_income_statement.csv
AMZN,9,Yes,AMZN_balance_sheet.csv; AMZN_cash_flow.csv; AMZN_earnings_dates.csv; AMZN_income_statement.csv; AMZN_quarterly_balance_sheet.csv; AMZN_quarterly_cash_flow.csv; AMZN_quarterly_income_statement.csv; AMZN_ttm_cash_flow.csv; AMZN_ttm_income_statement.csv
ASML,9,Yes,ASML_balance_sheet.csv; ASML_cash_flow.csv; ASML_earnings_dates.csv; ASML_income_statement.csv; ASML_quarterly_balance_sheet.csv; ASML_quarterly_cash_flow.csv; ASML_quarterly_income_statement.csv; ASML_ttm_cash_flow.csv; ASML_ttm_income_statement.csv
AVGO,9,Yes,AVGO_balance_sheet.csv; AVGO_cash_flow.csv; AVGO_earnings_dates.csv; AVGO_income_statement.csv; AVGO_quarterly_balance_sheet.csv; AVGO_quarterly_cash_flow.csv; AVGO_quarterly_income_statement.csv; AVGO_ttm_cash_flow.csv; AVGO_ttm_income_statement.csv
AZN,9,Yes,AZN_balance_sheet.csv; AZN_cash_flow.csv; AZN_earnings_dates.csv; AZN_income_statement.csv; AZN_quarterly_balance_sheet.csv; AZN_quarterly_cash_flow.csv; AZN_quarterly_income_statement.csv; AZN_ttm_cash_flow.csv; AZN_ttm_income_statement.csv
BABA,9,Yes,BABA_balance_sheet.csv; BABA_cash_flow.csv; BABA_earnings_dates.csv; BABA_income_statement.csv; BABA_quarterly_balance_sheet.csv; BABA_quarterly_cash_flow.csv; BABA_quarterly_income_statement.csv; BABA_ttm_cash_flow.csv; BABA_ttm_income_statement.csv
BAC,9,Yes,BAC_balance_sheet.csv; BAC_cash_flow.csv; BAC_earnings_dates.csv; BAC_income_statement.csv; BAC_quarterly_balance_sheet.csv; BAC_quarterly_cash_flow.csv; BAC_quarterly_income_statement.csv; BAC_ttm_cash_flow.csv; BAC_ttm_income_statement.csv
COST,6,Yes,COST_balance_sheet.csv; COST_earnings_dates.csv; COST_income_statement.csv; COST_quarterly_balance_sheet.csv; COST_quarterly_cash_flow.csv; COST_ttm_cash_flow.csv
CRM,9,Yes,CRM_balance_sheet.csv; CRM_cash_flow.csv; CRM_earnings_dates.csv; CRM_income_statement.csv; CRM_quarterly_balance_sheet.csv; CRM_quarterly_cash_flow.csv; CRM_quarterly_income_statement.csv; CRM_ttm_cash_flow.csv; CRM_ttm_income_statement.csv
CSCO,9,Yes,CSCO_balance_sheet.csv; CSCO_cash_flow.csv; CSCO_earnings_dates.csv; CSCO_income_statement.csv; CSCO_quarterly_balance_sheet.csv; CSCO_quarterly_cash_flow.csv; CSCO_quarterly_income_statement.csv; CSCO_ttm_cash_flow.csv; CSCO_ttm_income_statement.csv
CVX,9,Yes,CVX_balance_sheet.csv; CVX_cash_flow.csv; CVX_earnings_dates.csv; CVX_income_statement.csv; CVX_quarterly_balance_sheet.csv; CVX_quarterly_cash_flow.csv; CVX_quarterly_income_statement.csv; CVX_ttm_cash_flow.csv; CVX_ttm_income_statement.csv
GE,9,Yes,GE_balance_sheet.csv; GE_cash_flow.csv; GE_earnings_dates.csv; GE_income_statement.csv; GE_quarterly_balance_sheet.csv; GE_quarterly_cash_flow.csv; GE_quarterly_income_statement.csv; GE_ttm_cash_flow.csv; GE_ttm_income_statement.csv
GOOG,9,Yes,GOOG_balance_sheet.csv; GOOG_cash_flow.csv; GOOG_earnings_dates.csv; GOOG_income_statement.csv; GOOG_quarterly_balance_sheet.csv; GOOG_quarterly_cash_flow.csv; GOOG_quarterly_income_statement.csv; GOOG_ttm_cash_flow.csv; GOOG_ttm_income_statement.csv
GOOGL,9,Yes,GOOGL_balance_sheet.csv; GOOGL_cash_flow.csv; GOOGL_earnings_dates.csv; GOOGL_income_statement.csv; GOOGL_quarterly_balance_sheet.csv; GOOGL_quarterly_cash_flow.csv; GOOGL_quarterly_income_statement.csv; GOOGL_ttm_cash_flow.csv; GOOGL_ttm_income_statement.csv
GS,9,Yes,GS_balance_sheet.csv; GS_cash_flow.csv; GS_earnings_dates.csv; GS_income_statement.csv; GS_quarterly_balance_sheet.csv; GS_quarterly_cash_flow.csv; GS_quarterly_income_statement.csv; GS_ttm_cash_flow.csv; GS_ttm_income_statement.csv
HD,9,Yes,HD_balance_sheet.csv; HD_cash_flow.csv; HD_earnings_dates.csv; HD_income_statement.csv; HD_quarterly_balance_sheet.csv; HD_quarterly_cash_flow.csv; HD_quarterly_income_statement.csv; HD_ttm_cash_flow.csv; HD_ttm_income_statement.csv
IBM,9,Yes,IBM_balance_sheet.csv; IBM_cash_flow.csv; IBM_earnings_dates.csv; IBM_income_statement.csv; IBM_quarterly_balance_sheet.csv; IBM_quarterly_cash_flow.csv; IBM_quarterly_income_statement.csv; IBM_ttm_cash_flow.csv; IBM_ttm_income_statement.csv
IVV,0,No,
JNJ,4,Yes,JNJ_balance_sheet.csv; JNJ_cash_flow.csv; JNJ_earnings_dates.csv; JNJ_income_statement.csv
